,MovieName,Star1,Star2,Star3,Star4,Genre1,Genre2,Genre3,Gross_Collection,Certification,votes
123,Letters from Iwo Jima, Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryo Kase,Action, Adventure, Drama,13.76,R ,"166,166"
124,A Taxi Driver, Song Kang-ho, Thomas Kretschmann, Hae-Jin Yoo, Ryu Jun-Yeol,Action, Drama, History,1.53,Not Rated ,"27,300"
125,Baby, Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu,Action, Crime, Thriller,Nan,Not Rated ,"58,780"
126,Airlift, Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi,Action, Drama, History,Nan,Not Rated ,"57,824"
127,Vishwaroopam, Pooja Kumar, Miles Anderson, Kamal Haasan, Rahul Bose,Action, Thriller,Nan,Nan,Not Rated ,"40,544"
128,Everything Everywhere All at Once, Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan,Action, Adventure, Comedy,72.86,R ,"445,534"
129,The Batman, Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell,Action, Crime, Drama,369.35,PG-13 ,"698,461"
130,All Quiet on the Western Front, Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Moritz Klaus,Action, Drama, War,Nan,R ,"203,935"
131,The Gentlemen, Matthew McConaughey, Charlie Hunnam, Michelle Dockery, Jeremy Strong,Action, Comedy, Crime,36.47,R ,"359,858"
132,Rogue One: A Star Wars Story, Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen,Action, Adventure, Sci-Fi,532.18,PG-13 ,"657,056"
133,RRR, N.T. Rama Rao Jr., Ram Charan, Ajay Devgn, Alia Bhatt,Action, Drama,Nan,14.50,Not Rated ,"149,722"
134,Drive, Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks,Action, Drama,Nan,35.06,R ,"663,479"
135,Ghostbusters, Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis,Action, Comedy, Fantasy,238.63,PG ,"425,349"
136,Apocalypto, Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood,Action, Adventure, Drama,50.87,R ,"319,884"
137,Dunkirk, Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy,Action, Drama, History,188.37,PG-13 ,"681,360"
138,Star Wars: Episode VII - The Force Awakens, Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson,Action, Adventure, Sci-Fi,936.66,PG-13 ,"946,650"
139,Predator, Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall, Elpidia Carrillo,Action, Adventure, Horror,59.74,R ,"434,010"
140,Taken, Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser,Action, Crime, Thriller,145.00,PG-13 ,"614,230"
141,Captain America: Civil War, Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan,Action, Sci-Fi,Nan,408.08,PG-13 ,"810,541"
142,Skyfall, Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench,Action, Adventure, Thriller,304.36,PG-13 ,"709,248"
143,Hot Fuzz, Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy,Action, Comedy, Mystery,23.64,R ,"516,747"
144,Captain America: The Winter Soldier, Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford,Action, Adventure, Sci-Fi,259.77,PG-13 ,"865,695"
145,Serenity, Nathan Fillion, Gina Torres, Chiwetel Ejiofor, Alan Tudyk,Action, Adventure, Sci-Fi,25.51,PG-13 ,"300,169"
146,The Last Samurai, Tom Cruise, Ken Watanabe, Billy Connolly, William Atherton,Action, Drama,Nan,111.11,R ,"451,729"
147,I Saw the Devil, Lee Byung-hun, Choi Min-sik, Jeon Gook-hwan, Ho-jin Chun,Action, Crime, Drama,0.13,Not Rated ,"136,899"
148,Captain Phillips, Tom Hanks, Barkhad Abdi, Barkhad Abdirahman, Catherine Keener,Action, Biography, Crime,107.10,PG-13 ,"472,774"
149,Big Hero 6, Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller,Animation, Action, Adventure,222.53,PG ,"475,906"
150,The Fugitive, Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore,Action, Crime, Drama,183.88,PG-13 ,"304,340"
151,Thirteen Lives, Viggo Mortensen, Colin Farrell, Joel Edgerton, Tom Bateman,Action, Adventure, Biography,Nan,PG-13 ,"60,441"
152,The Fighter, Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo,Action, Biography, Drama,93.62,R ,"376,680"
153,How to Train Your Dragon 2, Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson,Animation, Action, Adventure,177.00,PG ,"347,130"
154,The Chaser, Kim Yoon-seok, Ha Jung-woo, Yeong-hie Seo, Kim Yoo-jeong,Action, Crime, Drama,Nan,Not Rated ,"69,108"
155,Ninja Scroll, Kôichi Yamadera, Emi Shinohara, Takeshi Aono, Osamu Saka,Animation, Action, Adventure,Nan,Not Rated ,"38,811"
